substancename,nonproprietaryname,proprietaryname,labelername,producttypename,dosageformname,routename,marketingcategoryname,active_numerator_strength,active_ingred_unit
OXYBUTYNIN,Oxybutynin,Gelnique,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,GEL,TRANSDERMAL,NDA,28,mg
PODOFILOX,podofilox,Condylox,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,GEL,TOPICAL,NDA,5,mg
PROGESTERONE,progesterone,Crinone,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,GEL,VAGINAL,NDA,45,mg
GEMCITABINE HYDROCHLORIDE,Gemcitabine,Gemcitabine,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,38,mg
IRON DEXTRAN,Iron Dextran,INFeD,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,NDA,50,mg
AZACITIDINE,Azacitidine,Azacitidine,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,100,mg
TRIPTORELIN PAMOATE,triptorelin pamoate,Trelstar,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,NDA,3.75,mg
DEXMEDETOMIDINE,Dexmedetomidine Hydrochloride,Dexmedetomidine Hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,100,ug
VINORELBINE,Vinorelbine,Vinorelbine,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,10,mg
LIDOCAINE HYDROCHLORIDE,Lidocaine Hydrochloride,Lidocaine,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,JELLY,TOPICAL,ANDA,20,mg
MELPHALAN HYDROCHLORIDE,Melphalan Hydrochloride,Melphalan Hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,INTRAVENOUS,ANDA,None,None
NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL,Norethindrone Acetate and Ethinyl Estradiol,Tilia Fe,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,ORAL,NDA,None,None
NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,Norethindrone Acetate and Ethinyl Estradiol and Ferrous Fumarate,Norethindrone Acetate and Ethinyl Estradiol and Ferrous Fumarate,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA AUTHORIZED GENERIC,None,None
NORETHINDRONE,norethindrone,Layolis Fe,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,ORAL,NDA,None,None
NORGESTIMATE AND ETHINYL ESTRADIOL,norgestimate and ethinyl estradiol,TriNessa Lo,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
TRIPTORELIN PAMOATE,triptorelin pamoate,Trelstar,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
NORETHINDRONE AND ETHINYL ESTRADIOL,norethindrone and ethinyl estradiol,Necon,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,norethindrone acetate and ethinyl estradiol and ferrous fumarate,Microgestin 24 Fe,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
TRIPTORELIN PAMOATE,triptorelin pamoate,Trelstar,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
NORETHINDRONE AND ETHINYL ESTRADIOL,Norethindrone and Ethinyl Estradiol,Leena,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,ORAL,NDA AUTHORIZED GENERIC,None,None
NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,Norethindrone Acetate and Ethinyl Estradiol and Ferrous Fumarate,Microgestin,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA AUTHORIZED GENERIC,None,None
NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,Norethindrone Acetate and Ethinyl Estradiol and Ferrous Fumarate,Microgestin,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA AUTHORIZED GENERIC,None,None
NORETHINDRONE AND ETHINYL ESTRADIOL,Norethindrone and ethinyl estradiol,Brevicon,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
NORETHINDRONE AND MESTRANOL,Norethindrone and Mestranol,Norinyl,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
NORETHINDRONE AND ETHINYL ESTRADIOL,Norethindrone and Ethinyl Estradiol,Tri-Norinyl,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,ORAL,NDA,None,None
DROSPIRENONE,Drospirenone,RAJANI,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,ANDA,None,None
ETHYNODIOL DIACETATE AND ETHINYL ESTRADIOL,Ethynodiol Diacetate and Ethinyl Estradiol,Zovia 1/35E-28,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,ORAL,ANDA,None,None
NORGESTREL AND ETHINYL ESTRADIOL,Norgestrel and Ethinyl Estradiol,Low-Ogestrel,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,ANDA,None,None
DESOGESTREL AND ETHINYL ESTRADIOL,Desogestrel and Ethinyl Estradiol,Reclipsen,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,ANDA,None,None
MICONAZOLE NITRATE,miconazole nitrate,Miconazole 7,Actavis Pharma Inc,HUMAN OTC DRUG,SUPPOSITORY,VAGINAL,ANDA,100,mg
NITROFURANTOIN,Nitrofurantoin,Nitrofurantoin,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,SUSPENSION,ORAL,ANDA,25,mg
AMANTADINE HYDROCHLORIDE,Amantadine hydrochloride,Amantadine hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,100,mg
AMOXAPINE,Amoxapine,Amoxapine,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,25,mg
CHLORZOXAZONE,Chlorzoxazone,Chlorzoxazone,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,500,mg
CLONIDINE HYDROCHLORIDE,Clonidine Hydrochloride,Clonidine Hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,0.1,mg
ESTROPIPATE,Estropipate,Estropipate,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,0.75,mg
IBANDRONATE SODIUM,ibandronate sodium,Ibandronate Sodium,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,150,mg
ISOSORBIDE MONONITRATE,Isosorbide Mononitrate,Isosorbide Mononitrate,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,20,mg
MINOXIDIL,Minoxidil,Minoxidil,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,2.5,mg
OXYCODONE HYDROCHLORIDE,Oxycodone Hydrochloride,Oxycodone Hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,5,mg
URSODIOL,Ursodiol,Ursodiol,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA AUTHORIZED GENERIC,250,mg
DICLOFENAC SODIUM,Diclofenac Sodium,Diclofenac Sodium,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,50,mg
DOXYCYCLINE HYCLATE,Doxycycline hyclate,Doxycycline hyclate,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,75,mg
CLONIDINE HYDROCHLORIDE,Clonidine Hydrochloride,Clonidine Hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,0.1,mg
OXYMORPHONE HYDROCHLORIDE,Oxymorphone hydrochloride,Oxymorphone hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,5,mg
INDAPAMIDE,Indapamide,Indapamide,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,2.5,mg
OXYCODONE HYDROCHLORIDE,Oxycodone hydrochloride and Ibuprofen,Oxycodone hydrochloride and Ibuprofen,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,5,mg
TRANEXAMIC ACID,Tranexamic Acid,Tranexamic Acid,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,650,mg
TRANYLCYPROMINE SULFATE,tranylcypromine sulfate,Tranylcypromine Sulfate,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA AUTHORIZED GENERIC,10,mg
HYDROMORPHONE HYDROCHLORIDE,Hydromorphone Hydrochloride,Hydromorphone Hydrochloride,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,8,mg
MORPHINE SULFATE,Morphine sulfate,Morphine sulfate,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,15,mg
ZOLPIDEM TARTRATE,Zolpidem Tartrate,Zolpidem Tartrate,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,6.25,mg
ALPRAZOLAM,Alprazolam,Alprazolam,Actavis Pharma Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,0.25,mg
NON-MEDICATED VALCHLOR DEMONSTRATION,Non-medicated VALCHLOR Demonstration,Non-medicated VALCHLOR Demonstration,Actelion Pharmaceuticals US Inc,HUMAN PRESCRIPTION DRUG,GEL,TOPICAL,NDA,None,None
EPOPROSTENOL,epoprostenol,Veletri,Actelion Pharmaceuticals US Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,1500000,ng
SELEXIPAG,Selexipag,UPTRAVI Titration Pack,Actelion Pharmaceuticals US Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
ILOPROST,iloprost,Ventavis,Actelion Pharmaceuticals US Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,RESPIRATORY (INHALATION),NDA,0.01,mg
SELEXIPAG,Selexipag,UPTRAVI,Actelion Pharmaceuticals US Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,200,ug
BOSENTAN,bosentan,Tracleer,Actelion Pharmaceuticals US Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,62.5,mg
MACITENTAN,macitentan,OPSUMIT,Actelion Pharmaceuticals US Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,10,mg
ACRIVASTINE,acrivastine and pseudoephedrine hydrochloride,SEMPREX,Actient Pharmaceuticals LLC,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,8,mg
THEOPHYLLINE ANHYDROUS,theophylline anhydrous,Theo-24,Actient Pharmaceuticals LLC,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,ANDA,100,mg
THIOTEPA,THIOTEPA,TEPADINA,ADIENNE SA,HUMAN PRESCRIPTION DRUG,INJECTION,INTRACAVITARY,NDA,15,mg
CHOLECALCIFEROL,Ciferex,Ciferex,Adler-Stern Pharmaceuticals LLC,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,UNAPPROVED DRUG OTHER,3775,[iU]
LIDOCAINE HYDROCHLORIDE ANHYDROUS,Lidocaine Hydrochloride,LIDOPIN,Adler-Stern Pharmaceuticals LLC,HUMAN PRESCRIPTION DRUG,CREAM,TOPICAL,UNAPPROVED DRUG OTHER,32.5,mg
CHLORHEXIDINE GLUCONATE,Chlorhexidine Gluconate,PerioChip,Adrian Pharmaceuticals LLC,HUMAN PRESCRIPTION DRUG,INSERT,PERIODONTAL,NDA,2.5,mg
IRON,Polysaccharide-Iron,Polysaccharide-Iron,Advance Pharmaceutical Inc.,HUMAN OTC DRUG,CAPSULE,ORAL,UNAPPROVED DRUG OTHER,150,mg
68GA-DOTATATE,68Ga-DOTATATE,NETSPOT,Advanced Accelerator Applications USA Inc,HUMAN PRESCRIPTION DRUG,KIT,INTRAVENOUS,NDA,None,None
EXOTIC CHERRY BLOSSOM,Exotic Cherry Blossom,Bodycology,Advanced Beauty Systems Inc,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH NOT FINAL,None,None
ENCHANTED FOREST,Enchanted Forest,Bodycology,Advanced Beauty Systems Inc,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH NOT FINAL,None,None
TOASTED VANILLA,Toasted Vanilla,Bodycology,Advanced Beauty Systems Inc,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH NOT FINAL,None,None
FRESH CUCUMBER,Fresh Cucumber,Bodycology,Advanced Beauty Systems Inc,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH NOT FINAL,None,None
ENCHANTED FOREST,Enchanted Forest,Bodycology,Advanced Beauty Systems Inc,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH NOT FINAL,None,None
EXOTIC CHERRY,Exotic Cherry,Bodycology,Advanced Beauty Systems Inc,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH NOT FINAL,None,None
TOASTED VANILLA SUGAR,Toasted Vanilla Sugar,Bodycology,Advanced Beauty Systems Inc,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH NOT FINAL,None,None
FRESH CUCUMBER MELON,Fresh Cucumber Melon,Bodycology,Advanced Beauty Systems Inc,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH NOT FINAL,None,None
ALCOHOL,alcohol,exotic cherry blossom kit,Advanced Beauty Systems Inc,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH NOT FINAL,None,None
BENZOCAINE,BENZOCAINE,20/20,Advanced Dental Anesthetics,HUMAN OTC DRUG,STRIP,DENTAL,OTC MONOGRAPH FINAL,10,mg
DEXTROMETHORPHAN HYDROBROMIDE,Dextromethorphan HBr,Biocotron-D,Advanced Generic Corporation,HUMAN OTC DRUG,SUSPENSION,ORAL,OTC MONOGRAPH FINAL,10,mg
LABURNUM ANAGYROIDES FLOWERING TOP,Laburnum anagyroides,TBX-Free,Advanced Men's Institute LLC,HUMAN OTC DRUG,STRIP,ORAL,UNAPPROVED HOMEOPATHIC,1,[hp_X]
TURNERA DIFFUSA LEAF,Damiana,Prolongz,Advanced Men's Institute LLC,HUMAN OTC DRUG,STRIP,ORAL,UNAPPROVED HOMEOPATHIC,1,[hp_X]
HYPERICUM PERFORATUM,Rhus toxicondendron,osteodin-z,Adven Biotech Private Limited,HUMAN OTC DRUG,OINTMENT,TOPICAL,UNAPPROVED HOMEOPATHIC,0.36,g
THUJA OCCIDENTALIS ROOT,berberis aquifolium,d-acne,Adven Biotech Private Limited,HUMAN OTC DRUG,OINTMENT,TOPICAL,UNAPPROVED HOMEOPATHIC,1,[hp_X]
PHENOLPHTHALEIN,Phenolphthalein,laxease,Adven Biotech Private Limited,HUMAN OTC DRUG,TABLET,ORAL,UNAPPROVED HOMEOPATHIC,81.6,g
POTASSIUM BROMIDE,Crataegus Oxy,rolfia,Adven Biotech Private Limited,HUMAN OTC DRUG,TABLET,ORAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
LOMITAPIDE MESYLATE,lomitapide mesylate,Juxtapid,Aegerion Pharmaceuticals Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,5,mg
METRELEPTIN,metreleptin,Myalept,Aegerion Pharmaceuticals Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,BLA,11.3,mg
LIDOCAINE HYDROCHLORIDE,Lidocaine Hydrochloride,Lidocaine Hydrochloride,Afassco Inc,HUMAN OTC DRUG,LIQUID,TOPICAL,OTC MONOGRAPH NOT FINAL,200,mL
LEVONORGESTREL AND ETHINYL ESTRADIOL,Levonorgestrel and Ethinyl Estradiol,AUBRA,Afaxys Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,ANDA,None,None
NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL,norethindrone acetate and ethinyl estradiol,TARINA Fe 1/20,Afaxys Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,ANDA,None,None
LEVONORGESTREL AND ETHINYL ESTRADIOL,levonorgestrel and ethinyl estradiol,CHATEAL,Afaxys Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,ANDA,None,None
DESOGESTREL AND ETHINYL ESTRADIOL,desogestrel and ethinyl estradiol,CYRED,Afaxys Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,ANDA,None,None
WITCH HAZEL,Witch Hazel,Medicated Bandage,Aid Tec Inc,HUMAN OTC DRUG,TAPE,TOPICAL,OTC MONOGRAPH FINAL,88.2,g
MICONAZOLE NITRATE,Miconazole Nitrate,Terrasil Rapid-Relief Vaginal,Aidance Skincare & Topical Solutions LLC,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH FINAL,None,None
ALLANTOIN,Allantoin,Terrasil Itch/ Rash and Pain Relief,Aidance Skincare & Topical Solutions LLC,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH NOT FINAL,None,None
SALICYLIC ACID,Salicylic Acid,Terrasil Rapid-Clear Psoriasis,Aidance Skincare & Topical Solutions LLC,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH FINAL,None,None
CLOTRIMAZOLE,Clotrimazole,Terrasil Rapid-Clear Anti-Fungal,Aidance Skincare & Topical Solutions LLC,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH FINAL,None,None
THUJA OCCIDENTALIS,Thuja Occidentalis,Terrasil Eczema and Psoriasis,Aidance Skincare & Topical Solutions LLC,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,UNAPPROVED HOMEOPATHIC,None,None
CALENDULA OFFICINALIS FLOWER,Calendula,Mom of 11 Kids No Time For Cuts/ Scrapes and Burns,Aidance Skincare & Topical Solutions LLC,HUMAN OTC DRUG,OINTMENT,TOPICAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
CLOTRIMAZOLE,Clotrimazole,Terrasil Jock-Itch Treatment,Aidance Skincare & Topical Solutions LLC,HUMAN OTC DRUG,OINTMENT,TOPICAL,OTC MONOGRAPH FINAL,1,g
COCOA BUTTER,Cocoa Butter,Terrasil Fissures Formula,Aidance Skincare & Topical Solutions LLC,HUMAN OTC DRUG,OINTMENT,TOPICAL,OTC MONOGRAPH FINAL,50,g
GRAPHITE,Graphites,Terragen HG Treatment,Aidance Skincare & Topical Solutions LLC,HUMAN OTC DRUG,OINTMENT,TOPICAL,UNAPPROVED HOMEOPATHIC,10,[hp_X]
RANUNCULUS BULBOSUS,Natrum Muriaticum,Terrasil S.O.S. Formula,Aidance Skincare & Topical Solutions LLC,HUMAN OTC DRUG,OINTMENT,TOPICAL,UNAPPROVED HOMEOPATHIC,10,[hp_X]
SALICYLIC ACID,Salicylic Acid,Terrasil Psoriasis Therapy,Aidance Skincare & Topical Solutions LLC,HUMAN OTC DRUG,OINTMENT,TOPICAL,OTC MONOGRAPH FINAL,3,g
THUJA OCCIDENTALIS LEAF,Thuja Occidentalis,Mom of 11 Kids No Time For Eczema,Aidance Skincare & Topical Solutions LLC,HUMAN OTC DRUG,OINTMENT,TOPICAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
THUJA OCCIDENTALIS LEAFY TWIG,Thuja Occidentalis,Terrasil Wart Treatment,Aidance Skincare & Topical Solutions LLC,HUMAN OTC DRUG,OINTMENT,TOPICAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
CEPHALEXIN ANHYDROUS,cephalexin,cephalexin,Aidarex Pharmaceuticals LLC,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,ANDA,500,mg
TRAMADOL HYDROCHLORIDE,Tramadol Hydrochloride,Tramadol Hydrochloride,Aidarex Pharmaceuticals LLC,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,150,mg
CEPHALEXIN,Cephalexin,cephalexin,Aidarex Pharmaceuticals LLC,HUMAN PRESCRIPTION DRUG,FOR SUSPENSION,ORAL,ANDA,250,mg
FLUVOXAMINE MALEATE,Fluvoxamine maleate,fluvoxamine maleate,Aidarex Pharmaceuticals LLC,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA AUTHORIZED GENERIC,50,mg
DIVALPROEX SODIUM,Divalproex Sodium,Divalproex SodiumDelayed-Release,Aidarex Pharmaceuticals LLC,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,500,mg
OMEPRAZOLE,Omeprazole,Omeprazole/Sodium Bicarbonate,Ajanta Pharma Limited,HUMAN PRESCRIPTION DRUG,POWDER,ORAL,ANDA,20,mg
MONTELUKAST SODIUM,MONTELUKAST SODIUM,MONTELUKAST SODIUM,Ajanta Pharma Limited,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,ANDA,10,mg
DOCUSATE SODIUM,Docuset Sodium,SENOKOT-S,Ajes Pharmaceuticals LLC,HUMAN OTC DRUG,PILL,ORAL,OTC MONOGRAPH NOT FINAL,50,mg
SILICON DIOXIDE,SILICON DIOXIDE,Olea Olidental,AJU PHARM CO. LTD.,HUMAN OTC DRUG,PASTE,ORAL,UNAPPROVED DRUG OTHER,170,mg
FLUORESCEIN SODIUM,fluorescein sodium,AK-FLUOR,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,250,mg
PHYSOSTIGMINE SALICYLATE,Physostigmine Salicylate,Physostigmine Salicylate,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,UNAPPROVED DRUG OTHER,1,mg
CAPREOMYCIN SULFATE,Capreomycin,CAPASTAT SULFATE,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,NDA,1,g
LEVOFLOXACIN,Levofloxacin,Levofloxacin,Akorn Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,OPHTHALMIC,ANDA,5,mg
VANCOMYCIN HYDROCHLORIDE,Vancomycin Hydrochloride,Vancomycin Hydrochloride,Akorn Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,ANDA,125,mg
LIDOCAINE HYDROCHLORIDE ANHYDROUS,Lidocaine Hydrochloride,Akten,Akorn Inc,HUMAN PRESCRIPTION DRUG,GEL,OPHTHALMIC,NDA,35,mg
ALFENTANIL HYDROCHLORIDE,Alfentanil Hydrochloride,Alfentanil Hydrochloride,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,500,ug
CHLOROTHIAZIDE SODIUM,Chlorothiazide Sodium,Chlorothiazide Sodium,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA AUTHORIZED GENERIC,500,mg
CLINDAMYCIN PHOSPHATE,Clindamycin Phosphate,Clindamycin,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,300,mg
DIMERCAPROL,DIMERCAPROL,BAL,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,NDA,100,mg
EPHEDRINE SULFATE,ephedrine sulfate,ephedrine sulfate,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,50,mg
HYDRALAZINE HYDROCHLORIDE,Hydralazine Hydrochloride,Hydralazine Hydrochloride,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,20,mg
LEVOFLOXACIN,Levofloxacin,Levofloxacin,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,25,mg
METHYLERGONOVINE MALEATE,Methylergonovine Maleate,Methylergonovine Maleate,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,0.2,mg
TETRACAINE HYDROCHLORIDE,Tetracaine HCl,Tetracaine,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBARACHNOID,UNAPPROVED DRUG OTHER,10,mg
MYCOPHENOLATE MOFETIL,Mycophenolate Mofetil,Mycophenolate Mofetil,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,500,mg
HYALURONIDASE,Hyaluronidase,Hydase,Akorn Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INFILTRATION,NDA,150,[USP'U]
NORGESTIMATE AND ETHINYL ESTRADIOL,Norgestimate and Ethinyl Estradiol,Norgestimate and Ethinyl Estradiol,Akorn Inc,HUMAN PRESCRIPTION DRUG,KIT,ORAL,ANDA,None,None
INDOCYANINE GREEN,indocyanine green,IC-Green,Akorn Inc,HUMAN PRESCRIPTION DRUG,KIT,INTRAVENOUS,NDA,None,None
HYDROXYAMPHETAMINE HYDROBROMIDE,Hydroxyamphetamine hydrobromide,Paremyd,Akorn Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,OPHTHALMIC,NDA,10,mg
HYPROMELLOSE 2906 (4000 MPA.S),Hypromellose 2906 (4000 MPA.S) and Hypromellose 2906 (50 MPA.S),Gonak Hypromellose,Akorn Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,OPHTHALMIC,UNAPPROVED DRUG OTHER,25,mg
TRIMETHOPRIM SULFATE,Trimethoprim sulfate and Polymyxin B sulfate,Trimethoprim sulfate and Polymyxin B sulfate,Akorn Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,OPHTHALMIC,ANDA,1,mg
ZOLEDRONIC ACID,Zoledronic Acid,Zoledronic Acid,Akorn Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,INTRAVENOUS,ANDA,5,mg
AZITHROMYCIN MONOHYDRATE,Azithromycin Monohydrate,AzaSITE,Akorn Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,OPHTHALMIC,NDA,10,mg
BETAXOLOL HYDROCHLORIDE,Betaxolol Hydrochloride,Betaxolol,Akorn Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,OPHTHALMIC,ANDA,5,mg
CROMOLYN SODIUM,Cromolyn Sodium,Cromolyn Sodium,Akorn Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,OPHTHALMIC,ANDA,40,mg
FLUORESCEIN SODIUM,Fluorescein Sodium and Benoxinate Hydrochloride,FLURESS,Akorn Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,OPHTHALMIC,UNAPPROVED DRUG OTHER,2.5,mg
GENTAMICIN SULFATE,Gentamicin Sulfate,Gentamicin Sulfate,Akorn Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,OPHTHALMIC,ANDA,3,mg
